45501,"(100,)","No no  , no no no no no , ask me what time I was up at ?","[No/DT, no/NN, ,/,, no/DT, no/DT, no/DT, no/DT, no/NN, ,/,, ask/VB, me/PRP, what/WDT, time/NN, I/PRP, was/VBD, up/RB, at/IN, ?/.]","(ROOT (S (NP (NP (DT No) (NN no)) (, ,) (NP (DT no) (ADJP (ADVP (DT no) (DT no)) (DT no)) (NN no)) (, ,)) (VP (VB ask) (NP (PRP me)) (SBAR (WHNP (WDT what) (NN time)) (S (NP (PRP I)) (VP (VBD was) (ADVP (RB up) (IN at)))))) (. ?)))"
45501,"(101,)",What time were you up at ?,"[What/WDT, time/NN, were/VBD, you/PRP, up/RP, at/IN, ?/.]",(ROOT (SBARQ (WHNP (WDT What) (NN time)) (SQ (VP (VBD were) (NP (PRP you)) (PP (RP up) (PP (IN at))))) (. ?)))
45501,"(102, 103, 104, 105)","Half five this morning  letting the dogs out    in the back  so I said to hell with it , I 'm not going to bed again !","[Half/DT, five/CD, this/DT, morning/NN, letting/VBG, the/DT, dogs/NNS, out/RP, in/IN, the/DT, back/NN, so/IN, I/PRP, said/VBD, to/TO, hell/NN, with/IN, it/PRP, ,/,, I/PRP, 'm/VBP, not/RB, going/VBG, to/TO, bed/NN, again/RB, !/.]","(ROOT (S (S (NP (NP (QP (DT Half)) (CD five)) (NP (DT this) (NN morning))) (VP (VBG letting) (NP (DT the) (NNS dogs)) (PRT (RP out)) (PP (IN in) (NP (NP (DT the) (NN back)) (SBAR (IN so) (S (NP (PRP I)) (VP (VBD said) (PP (TO to) (NP (NN hell))) (PP (IN with) (NP (PRP it)))))))))) (, ,) (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VBG going) (PP (TO to) (NP (NN bed))) (ADVP (RB again)))) (. !)))"
45501,"(106,)",You won 't lie in when you can 't ,"[You/PRP, won/VBD, 't/PRP, lie/VB, in/IN, when/WRB, you/PRP, can/MD, 't/PRP]",(ROOT (S (NP (PRP You)) (VP (VBD won) (S (NP (PRP 't)) (VP (VB lie) (PP (IN in) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (MD can) (VP (NP (PRP 't))))))))))))
45501,"(107,)",Well I slept all night Jean .,"[Well/RB, I/PRP, slept/VBD, all/DT, night/NN, Jean/NNP, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP I)) (VP (VBD slept) (S (NP (DT all) (NN night)) (NP (NNP Jean)))) (. .)))
45501,"(108,)",You know what I had this morning for my breakfast ?,"[You/PRP, know/VBP, what/WP, I/PRP, had/VBD, this/DT, morning/NN, for/IN, my/PRP$, breakfast/NN, ?/.]",(ROOT (S (NP (PRP You)) (VP (VBP know) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBD had) (NP (NP (DT this) (NN morning)) (PP (IN for) (NP (PRP$ my) (NN breakfast)))))))) (. ?)))
45501,"(109,)",Ha !,"[Ha/NNP, !/.]",(ROOT (FRAG (NP (NNP Ha)) (. !)))
45501,"(110, 111, 112, 113)","One , two    one , two , three , four  four  seven oat cakes !","[One/CD, ,/,, two/CD, one/CD, ,/,, two/CD, ,/,, three/CD, ,/,, four/CD, four/CD, seven/CD, oat/NN, cakes/NNS, !/.]","(ROOT (FRAG (NP (CD One)) (, ,) (NP (NP (CD two) (CD one)) (, ,) (NP (CD two)) (, ,) (NP (CD three)) (, ,) (NP (NP (QP (CD four) (CD four))) (NP (CD seven) (NN oat) (NNS cakes)))) (. !)))"
45501,"(114, 115)",You know the triangle shaped ones ever  whatever ?,"[You/PRP, know/VBP, the/DT, triangle/NN, shaped/JJ, ones/NNS, ever/RB, whatever/WDT, ?/.]",(ROOT (S (NP (PRP You)) (VP (VBP know) (NP (NP (DT the) (NN triangle)) (ADVP (NP (JJ shaped) (NNS ones)) (RB ever)) (SBAR (WHNP (WDT whatever))))) (. ?)))
45501,"(116,)",Seven of those .,"[Seven/CD, of/IN, those/DT, ./.]",(ROOT (NP (NP (CD Seven)) (PP (IN of) (NP (DT those))) (. .)))
