40906,"(66, 67, 68, 69)","Nine three eight three  five hundred of them  nine three seven two , he 's only got ten left of them  popular one that ","[Nine/CD, three/CD, eight/CD, three/CD, five/CD, hundred/CD, of/IN, them/PRP, nine/CD, three/CD, seven/CD, two/CD, ,/,, he/PRP, 's/VBZ, only/RB, got/VBD, ten/CD, left/NN, of/IN, them/PRP, popular/JJ, one/CD, that/WDT]","(ROOT (FRAG (NP (CD Nine) (CD three)) (SBAR (WHNP (NP (NP (CD eight) (CD three)) (ADJP (QP (CD five) (CD hundred)))) (PP (IN of) (NP (PRP them)))) (S (FRAG (NP (CD nine) (CD three)) (NP (CD seven) (CD two))) (, ,) (NP (PRP he)) (VP (VBZ 's) (VP (ADVP (RB only)) (VBD got) (S (NP (NP (CD ten) (NN left)) (PP (IN of) (NP (NP (PRP them)) (ADJP (JJ popular) (NP (CD one)))))) (NP (WDT that)))))))))"
40906,"(70,)",Ten left after our thirty ?,"[Ten/CD, left/VBN, after/IN, our/PRP$, thirty/CD, ?/.]",(ROOT (NP (NP (CD Ten)) (VP (VBN left) (PP (IN after) (NP (PRP$ our) (CD thirty)))) (. ?)))
40906,"(71,)",No,[No/DT],(ROOT (FRAG (NP (DT No))))
40906,"(72,)", he 's only got ten left in erm,"[he/PRP, 's/VBZ, only/RB, got/VBD, ten/CD, left/VBN, in/IN, erm/NN]",(ROOT (S (NP (PRP he)) (VP (VBZ 's) (SBAR (RB only) (S (VP (VBD got) (NP (NP (CD ten)) (VP (VBN left) (PP (IN in) (NP (NN erm)))))))))))
40906,"(73,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
40906,"(74,)",nine left now cos we 've got one .,"[nine/CD, left/RB, now/RB, cos/NN, we/PRP, 've/VBP, got/VBD, one/CD, ./.]",(ROOT (S (ADVP (NP (CD nine)) (RB left)) (PP (RB now) (NP (NN cos))) (NP (PRP we)) (VP (VBP 've) (VP (VBD got) (NP (CD one)))) (. .)))
40906,"(75, 76)",He 's got two hundred and seventy six of  them but erm,"[He/PRP, 's/VBZ, got/VBN, two/CD, hundred/CD, and/CC, seventy/CD, six/CD, of/IN, them/PRP, but/CC, erm/NN]",(ROOT (S (NP (PRP He)) (VP (VBZ 's) (VP (VBN got) (NP (NP (QP (CD two) (CD hundred) (CC and) (CD seventy) (CD six))) (PP (IN of) (NP (PRP them)))) (PP (CC but) (NP (NN erm)))))))
40906,"(77,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
40906,"(78, 79)",two hundred and twenty nine then hundred and seventy five   but I mean  if we could sell them   six quid a time well  ,"[two/CD, hundred/CD, and/CC, twenty/CD, nine/CD, then/RB, hundred/CD, and/CC, seventy/CD, five/CD, but/CC, I/PRP, mean/VBP, if/IN, we/PRP, could/MD, sell/VB, them/PRP, six/CD, quid/VBD, a/DT, time/NN, well/RB]",(ROOT (S (NP (QP (CD two) (CD hundred) (CC and) (CD twenty) (CD nine)) (NP (RB then) (CD hundred) (CC and) (CD seventy)) (SBAR (WHNP (NP (CD five)) (PP (CC but) (NP (PRP I)))) (S (VP (VBP mean) (SBAR (IN if) (S (NP (PRP we)) (VP (MD could) (VP (VB sell) (NP (PRP them)) (NP (CD six)))))))))) (VP (VBD quid) (NP (DT a) (NN time)) (ADVP (RB well)))))
40906,"(80,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
