71101,"(60,)",Now why isn 't he choosing centres that are down there or is there,"[Now/RB, why/WRB, isn/NNP, 't/PRP, he/PRP, choosing/VBG, centres/NNS, that/WDT, are/VBP, down/RB, there/RB, or/CC, is/VBZ, there/EX]",(ROOT (FRAG (ADVP (RB Now)) (SBAR (WHADVP (WRB why) (NP (NP (NNP isn)) (NP (PRP 't)))) (S (NP (PRP he)) (VP (VBG choosing) (NP (NP (NNS centres)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBP are) (ADVP (RB down)) (NP (RB there))) (CC or) (VP (VBZ is) (NP (EX there))))))))))))
71101,"(61,)",,[],X
71101,"(62,)",less to their relationship than meets the eye ?,"[less/JJR, to/TO, their/PRP$, relationship/NN, than/IN, meets/VBZ, the/DT, eye/NN, ?/.]",(ROOT (FRAG (ADJP (JJR less) (PP (TO to) (NP (PRP$ their) (NN relationship)))) (SBAR (IN than) (S (VP (VBZ meets) (NP (DT the) (NN eye))))) (. ?)))
71101,"(63,)","Well it 's , I , I , almost , I asked","[Well/RB, it/PRP, 's/VBZ, ,/,, I/PRP, ,/,, I/PRP, ,/,, almost/RB, ,/,, I/PRP, asked/VBD]","(ROOT (S (S (INTJ (RB Well)) (NP (PRP it)) (VP (VBZ 's))) (, ,) (NP (PRP I)) (, ,) (S (NP (PRP I))) (, ,) (ADVP (RB almost)) (, ,) (NP (PRP I)) (VP (VBD asked))))"
71101,"(64,)",You almost asked him if   he 'd split up   with his wife,"[You/PRP, almost/RB, asked/VBD, him/PRP, if/IN, he/PRP, 'd/MD, split/VB, up/RP, with/IN, his/PRP$, wife/NN]",(ROOT (SINV (ADVP (PRP You) (RB almost)) (VP (VBD asked) (NP (PRP him))) (SBAR (IN if) (S (NP (PRP he)) (VP (MD 'd) (VP (VB split) (PRT (RP up)) (PP (IN with) (NP (PRP$ his) (NN wife)))))))))
71101,"(65,)","er I said , er , all I said to him was that , erm , he said , he said he was going back er up , up and down most weekends to er","[er/NN, I/NN, said/VBD, ,/,, er/NN, ,/,, all/DT, I/PRP, said/VBD, to/TO, him/PRP, was/VBD, that/IN, ,/,, erm/NN, ,/,, he/PRP, said/VBD, ,/,, he/PRP, said/VBD, he/PRP, was/VBD, going/VBG, back/RB, er/NN, up/RP, ,/,, up/RB, and/CC, down/RB, most/RBS, weekends/NNS, to/TO, er/NN]","(ROOT (S (S (NP (NN er) (NN I)) (VP (VBD said))) (, ,) (NP (NN er)) (, ,) (NP (NP (DT all)) (SBAR (S (NP (PRP I)) (VP (VBD said) (PP (TO to) (NP (PRP him))))))) (VP (VBD was) (SBAR (IN that) (PRN (, ,) (S (NP (NN erm)) (, ,) (NP (PRP he)) (VP (VBD said))) (, ,)) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (NP (PRP he)) (VP (VBD was) (VP (VBG going) (S (S (ADVP (RB back)) (NP (NP (NN er)) (ADVP (RP up)))) (, ,) (S (ADVP (RB up) (CC and) (RB down)) (NP (RBS most) (NNS weekends)))) (PP (TO to) (NP (NN er)))))))))))))"
71101,"(66,)",mm,[mm/NN],(ROOT (NP (NN mm)))
71101,"(67,)","to Wales , so he could be with her mind , er and he said well I 've got the job I want and she 's got the job she wants , erm , we 're both happy in our work","[to/TO, Wales/NNP, ,/,, so/RB, he/PRP, could/MD, be/VB, with/IN, her/PRP$, mind/NN, ,/,, er/NN, and/CC, he/PRP, said/VBD, well/RB, I/PRP, 've/VBP, got/VBD, the/DT, job/NN, I/PRP, want/VBP, and/CC, she/PRP, 's/VBZ, got/VBD, the/DT, job/NN, she/PRP, wants/VBZ, ,/,, erm/NN, ,/,, we/PRP, 're/VBP, both/DT, happy/JJ, in/IN, our/PRP$, work/NN]","(ROOT (S (PP (TO to) (NP (NNP Wales))) (, ,) (SBAR (RB so) (S (S (NP (PRP he)) (VP (MD could) (VP (VB be) (PP (IN with) (NP (NP (PRP$ her) (NN mind)) (, ,) (NP (NN er))))))) (CC and) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (S (ADVP (RB well)) (NP (PRP I)) (VP (VBP 've) (VP (VBD got) (NP (DT the) (NN job)) (SBAR (S (NP (PRP I)) (VP (VBP want))))))) (CC and) (S (NP (PRP she)) (VP (VBZ 's) (VP (VBD got) (NP (NP (DT the) (NN job)) (SBAR (S (NP (PRP she)) (VP (VBZ wants)))) (, ,) (NP (NN erm)))))))))))) (, ,) (NP (PRP we)) (VP (VBP 're) (DT both) (ADJP (JJ happy) (PP (IN in) (NP (PRP$ our) (NN work)))))))"
71101,"(68,)",But surely he was closer to her in erm   ?,"[But/CC, surely/RB, he/PRP, was/VBD, closer/JJR, to/TO, her/PRP$, in/IN, erm/NN, ?/.]",(ROOT (S (CC But) (ADVP (RB surely)) (NP (PRP he)) (VP (VBD was) (ADJP (ADJP (JJR closer)) (PP (TO to) (NP (PRP$ her)))) (PP (IN in) (NP (NN erm)))) (. ?)))
71101,"(69,)",,[],X
