18905,"(81,)",Really .,"[Really/RB, ./.]",(ROOT (FRAG (ADVP (RB Really)) (. .)))
18905,"(82, 83, 84, 85)",Really   at all er  apart from the  mor- moral support .,"[Really/RB, at/IN, all/DT, er/NN, apart/RB, from/IN, the/DT, mor-/JJ, moral/JJ, support/NN, ./.]",(ROOT (FRAG (ADVP (RB Really) (PP (IN at) (NP (NP (DT all) (NN er)) (ADVP (RB apart) (PP (IN from) (NP (DT the) (JJ mor-) (JJ moral) (NN support))))))) (. .)))
18905,"(86, 87)",Moral support  well you need that other stuff first,"[Moral/JJ, support/NN, well/RB, you/PRP, need/VBP, that/IN, other/JJ, stuff/NN, first/RB]",(ROOT (FRAG (NP (JJ Moral) (NN support)) (ADJP (RB well) (SBAR (S (NP (PRP you)) (VP (VBP need) (PP (IN that) (NP (JJ other) (NN stuff))) (ADVP (RB first))))))))
18905,"(88,)",,[],X
18905,"(89,)", side .,"[side/NN, ./.]",(ROOT (NP (NN side) (. .)))
18905,"(90,)","Hold me up while I sign , you know .","[Hold/VB, me/PRP, up/RP, while/IN, I/PRP, sign/VBP, ,/,, you/PRP, know/VBP, ./.]","(ROOT (S (S (VP (VB Hold) (NP (PRP me)) (PRT (RP up)) (SBAR (IN while) (S (NP (PRP I)) (VP (VBP sign)))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
18905,"(91,)","No well I 'll go with you , if you want .","[No/RB, well/RB, I/PRP, 'll/MD, go/VB, with/IN, you/PRP, ,/,, if/IN, you/PRP, want/VBP, ./.]","(ROOT (S (ADVP (RB No) (RB well)) (NP (PRP I)) (VP (MD 'll) (VP (VB go) (PP (IN with) (NP (PRP you))) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP want)))))) (. .)))"
18905,"(92, 93, 94, 95)","It isn 't very long  Shouldn 't be in there long  just a matter of signing all the things , checking all the  details over , putting in what he hasn 't filled in already .","[It/PRP, isn/VBD, 't/PRP, very/RB, long/RB, Shouldn/JJ, 't/PRP, be/VB, in/IN, there/EX, long/RB, just/RB, a/DT, matter/NN, of/IN, signing/VBG, all/PDT, the/DT, things/NNS, ,/,, checking/VBG, all/PDT, the/DT, details/NNS, over/IN, ,/,, putting/VBG, in/IN, what/WP, he/PRP, hasn/VBD, 't/PRP, filled/VBN, in/IN, already/RB, ./.]","(ROOT (S (NP (PRP It)) (VP (VBD isn) (S (NP (PRP 't)) (ADJP (RB very) (RB long) (JJ Shouldn)) (SBAR (S (NP (PRP 't)) (VP (VB be) (VP (PP (IN in) (NP (EX there))) (SBAR (RB long) (RB just) (S (NP (NP (DT a) (NN matter)) (PP (IN of) (S (VP (VP (VBG signing) (NP (PDT all) (DT the) (NNS things))) (, ,) (VP (VBG checking) (NP (PDT all) (DT the) (NNS details)) (PP (IN over))) (, ,) (VP (VBG putting) (PP (IN in) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD hasn)))))) (NP (PRP 't)))))) (VP (VBN filled) (PP (IN in) (ADVP (RB already)))))))))))) (. .)))"
18905,"(96, 97)","And I 'm hoping that they get that letter , you seeing them  weekend   .","[And/CC, I/PRP, 'm/VBP, hoping/VBG, that/IN, they/PRP, get/VBP, that/IN, letter/NN, ,/,, you/PRP, seeing/VBG, them/PRP, weekend/NN, ./.]","(ROOT (S (CC And) (NP (PRP I)) (VP (VBP 'm) (VP (VBG hoping) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP get) (PP (IN that) (NP (NN letter)))))) (, ,) (S (NP (PRP you)) (VP (VBG seeing) (NP (PRP them)) (NP (NN weekend)))))) (. .)))"
18905,"(98,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
